,0
0,1.5444021503221703e-09
1,4.1872133479576836e-10
2,2.853420442513668e-10
3,2.29605484573611e-10
4,2.328631282879146e-10
5,2.2197036756661556e-10
6,2.2359789103312604e-10
7,2.213094268118112e-10
8,2.2081526058417519e-10
9,2.2074315570259206e-10
10,2.2356498320911482e-10
11,2.3026556982963568e-10
12,2.2063822151835175e-10
13,2.207109076601312e-10
14,2.2075772652783438e-10
15,2.2074382399403398e-10
16,2.3966674335999396e-10
17,2.2231977697377675e-10
18,2.389036630214409e-10
19,2.2273190237829145e-10
20,2.437641380049995e-10
21,2.210482621905109e-10
22,2.3547602018360587e-10
23,2.2048348258171746e-10
24,2.343729780175079e-10
25,2.2667969497609843e-10
26,2.2086258755165735e-10
27,2.21019185741638e-10
28,2.2080578024603428e-10
