,0
0,0.0008329361346960039
1,0.00018521879000161652
2,6.71785678969354e-05
3,3.558116860657409e-05
4,2.3050945668311458e-05
5,1.7748356255671654e-05
6,1.5612050536130394e-05
7,1.5520322815832178e-05
8,1.6630495118478997e-05
9,1.8892967566236887e-05
10,2.2245668742488196e-05
11,2.6596864127804838e-05
12,3.195742219960508e-05
13,3.8208894182628845e-05
14,4.5447568754598336e-05
15,5.35540659326063e-05
16,6.251094919246471e-05
17,7.225539048239092e-05
18,8.274124419088325e-05
19,9.391956494893432e-05
20,0.0001056739738017197
21,0.00011790037638176624
22,0.0001309502128323648
23,0.00014456789442603363
24,0.00015891133211326552
25,0.0001741084462050302
26,0.00018971282905586517
27,0.00020597024381281188
28,0.00022261219549050146
29,0.00023992211260913642
