,0
0,1.9053509056296774e-10
1,6.623394574963718e-11
2,4.629903206074311e-11
3,3.777653263833054e-11
4,3.5937641791476805e-11
5,3.5873245046000135e-11
6,3.592587512391677e-11
7,3.593282116449358e-11
8,3.5932893222465264e-11
9,3.5932414553815776e-11
10,3.593236827275407e-11
11,3.5932418096010116e-11
12,3.593241717563308e-11
13,3.5932413423496113e-11
14,3.593241272175232e-11
15,3.59324128377998e-11
16,3.593241296776412e-11
17,3.593241298138229e-11
18,3.593241297233024e-11
19,3.5932412970684334e-11
20,3.593241297125038e-11
21,3.593241297131034e-11
22,3.5932412971260394e-11
23,3.593241297125777e-11
24,3.593241297126086e-11
25,3.5932412971260465e-11
26,3.593241297126066e-11
27,3.5932412971260523e-11
28,3.5932412971260685e-11
